force,rate
1.238981967,3.488026349
2.734180328,5.751081863
5.195898361,7.733952049
8.756802459,16.46423752
-1.373435833,2.131105618
-2.657765833,1.120203429
-4.796120833,1.409509491
-7.874906557,1.574152925
