head,tstepback,nodirrelease,tstepforwint,tstepforwslope,atprelease
c_a1,23.166912975000002,22.482485844793928,3.1823692869903795,0.8829668845342971,0.0
c_a3,1.55874286575,1.726590026157008,0.8028375449428435,0.14051367851076282,0.0
c_wt,15.461031847777782,15.631028508294625,12.040967181971936,0.6410917439058461,0.0
l_a3,2.582504189142857,2.3748816927258116,1.6378520965847922,0.28733612421327737,0.6
l_wt,1.5638057094375,1.194273171262444,-0.34799123209976823,0.2651828601244947,8.0
